,員工滿意度,雇主評分,工作項目,每月工作時數,工作年資,工傷紀錄,在職中,近5年升遷,職務,薪資
3950,0.59,0.57,5,257,2,0,0,0,業務,低
3951,0.59,0.93,3,265,3,1,0,0,業務,低
3952,0.55,0.64,3,138,3,1,0,0,業務,低
3953,0.42,0.75,3,163,2,1,0,0,業務,低
3954,0.57,0.81,3,144,3,0,0,0,業務,低
3955,0.72,0.51,3,146,2,1,0,0,業務,低
3956,0.83,0.81,3,242,6,0,0,0,業務,低
3957,0.89,0.93,4,249,3,0,0,0,業務,低
3958,0.55,0.59,3,245,3,0,0,0,業務,低
3959,0.53,0.75,4,201,2,0,0,0,業務,低
3960,0.74,0.59,4,177,4,1,0,0,業務,中
3961,0.63,0.98,4,160,2,0,0,0,業務,中
3962,0.63,0.4,6,177,2,1,0,0,業務,中
3963,0.61,0.97,4,153,3,0,0,0,財務會計,中
3964,0.76,0.79,3,197,5,0,0,0,財務會計,中
3965,0.67,0.82,4,246,4,0,0,0,財務會計,中
3966,0.51,0.95,4,258,3,0,0,0,人力資源,中
3967,0.67,0.55,3,137,3,0,0,0,人力資源,中
3968,0.16,0.94,3,178,4,0,0,0,人力資源,中
3969,0.34,0.85,4,123,4,0,0,0,人力資源,中
3970,0.58,0.73,5,162,3,1,0,0,技術員,中
3971,0.5,0.71,5,210,5,0,0,0,技術員,中
3972,0.56,0.48,4,197,3,1,0,0,技術員,高
3973,0.56,0.98,3,220,3,0,0,0,技術員,低
3974,0.74,0.71,4,133,2,0,0,0,技術員,中
3975,0.69,0.99,3,198,2,0,0,0,技術員,中
3976,0.15,0.81,4,160,5,0,0,0,技術員,中
3977,0.58,0.67,2,180,2,0,0,0,技術員,中
3978,0.8,0.79,3,217,3,0,0,0,技術員,低
3979,0.5,0.57,3,223,3,0,0,0,技術員,低
3980,0.66,0.92,4,229,2,0,0,0,技術員,低
3981,0.81,0.78,4,159,3,0,0,0,技術支援,低
3982,0.14,0.68,5,253,5,0,0,0,技術支援,低
3983,0.92,0.85,3,235,2,0,0,0,技術支援,低
3984,0.69,0.91,4,186,3,0,0,0,技術支援,低
3985,0.66,0.99,4,263,2,0,0,0,技術支援,低
3986,0.85,0.39,4,239,4,0,0,0,技術支援,低
3987,0.83,0.69,4,151,2,0,0,0,技術支援,低
3988,1,0.49,3,106,4,0,0,0,技術支援,低
3989,0.68,0.65,3,183,4,0,0,0,技術支援,低
3990,0.26,0.97,3,125,2,0,0,0,技術支援,低
3991,0.35,0.41,3,157,2,0,0,0,技術支援,低
3992,0.12,0.58,3,241,2,0,0,0,技術員,低
3993,0.91,0.93,4,184,3,0,0,0,技術員,低
3994,0.65,0.67,4,144,3,0,0,0,技術員,低
3995,0.78,0.72,3,255,4,1,0,0,經理,低
3996,0.61,0.82,3,261,4,0,0,0,資訊科技,低
3997,0.64,0.51,4,207,2,0,0,0,資訊科技,低
3998,0.58,0.73,4,205,4,0,0,0,資訊科技,低
3999,0.63,0.76,4,217,2,1,0,0,資訊科技,中
4000,0.94,0.6,4,215,2,1,0,0,資訊科技,中
4001,0.26,0.81,5,139,4,0,0,0,產品管理,中
4002,0.59,0.69,3,146,3,0,0,0,產品管理,中
4003,0.78,0.8,4,175,3,0,0,0,產品管理,中
4004,0.86,0.64,5,188,3,0,0,0,產品管理,中
4005,0.79,0.73,5,155,3,0,0,0,資訊科技,中
4006,0.89,0.73,4,171,4,0,0,0,研發,中
4007,0.34,0.99,4,184,3,0,0,0,研發,中
4008,0.29,0.77,3,164,6,0,0,0,研發,中
4009,0.71,0.89,3,244,4,0,0,0,研發,中
4010,0.93,0.58,4,222,2,0,0,0,研發,中
4011,0.94,0.76,4,231,3,1,0,0,研發,高
4012,0.91,0.72,3,213,3,0,0,0,行銷,低
4013,0.71,0.96,4,144,4,0,0,0,業務,中
4014,0.67,0.81,3,221,4,1,0,0,財務會計,中
4015,0.54,0.42,3,138,3,1,0,0,技術支援,中
4016,0.89,0.58,3,183,4,0,0,0,技術員,中
4017,0.94,0.91,3,250,3,1,0,0,經理,低
4018,0.15,0.89,3,219,6,0,0,0,行銷,低
4019,0.45,0.92,6,164,4,1,0,0,行銷,低
4020,0.92,0.67,4,161,4,1,0,0,行銷,低
4021,0.63,0.56,4,274,5,1,0,0,業務,低
4022,0.8,0.66,4,181,3,1,0,0,業務,低
4023,0.45,0.72,3,148,2,0,0,0,業務,低
4024,0.72,0.54,3,226,2,1,0,0,業務,低
4025,0.84,0.36,6,256,5,0,0,0,業務,低
4026,0.61,0.51,3,141,2,0,0,0,業務,低
4027,0.63,0.88,3,177,3,0,0,0,業務,低
4028,0.49,0.54,4,173,2,0,0,0,業務,低
4029,0.68,0.51,2,196,3,0,0,0,業務,低
4030,0.64,0.85,5,179,2,0,0,0,業務,低
4031,0.61,0.64,4,201,3,0,0,0,業務,低
4032,0.83,0.55,5,247,3,0,0,0,業務,低
4033,0.94,0.51,5,238,2,0,0,0,業務,低
4034,0.27,0.66,3,133,6,0,0,0,業務,低
4035,0.6,0.49,2,194,4,0,0,0,業務,低
4036,0.83,0.69,4,232,2,0,0,0,業務,低
4037,0.53,0.75,3,232,3,0,0,0,業務,低
4038,0.79,0.97,4,204,3,0,0,0,業務,中
4039,0.96,0.49,4,252,3,1,0,0,業務,中
4040,0.5,0.56,3,164,3,0,0,0,財務會計,中
4041,0.68,0.81,5,266,2,0,0,0,財務會計,中
4042,0.24,0.54,4,226,4,1,0,0,財務會計,中
4043,0.8,0.8,4,252,6,0,0,0,人力資源,中
4044,0.62,0.74,4,155,3,0,0,0,人力資源,中
4045,1,0.85,3,202,2,0,0,0,人力資源,中
4046,0.64,0.75,3,214,3,0,0,0,人力資源,中
4047,0.51,0.55,4,267,3,0,0,0,技術員,中
4048,0.74,0.5,4,265,3,0,0,0,技術員,中
4049,0.49,0.99,3,221,2,1,0,0,技術員,中
4050,0.96,0.83,4,132,6,0,0,0,技術員,高
4051,0.59,0.62,4,227,4,1,0,0,技術員,低
4052,0.84,0.57,4,234,3,0,0,0,技術員,中
4053,0.16,0.84,3,238,6,0,0,0,技術員,中
4054,0.62,0.75,3,149,2,1,0,0,技術員,中
4055,0.79,0.67,4,152,3,0,0,0,技術員,中
4056,0.53,0.83,4,249,3,1,0,0,技術員,低
4057,0.17,0.48,6,270,5,0,0,0,技術員,低
4058,0.57,0.76,3,200,2,0,0,0,技術支援,低
4059,0.65,0.82,4,207,2,0,0,0,技術支援,低
4060,0.69,0.74,4,266,2,1,0,0,技術支援,低
4061,0.3,0.8,6,250,3,0,0,0,技術支援,低
4062,0.99,0.92,3,220,3,0,0,0,技術支援,低
4063,0.5,0.69,4,177,2,0,0,0,技術支援,低
4064,0.54,0.96,3,147,2,0,0,0,技術支援,中
4065,0.69,0.57,4,227,4,0,0,0,技術支援,中
4066,0.5,0.85,4,272,2,0,0,0,技術支援,中
4067,0.66,0.73,3,244,3,0,0,0,技術支援,中
4068,1,0.93,5,182,3,1,0,0,技術支援,中
4069,0.15,0.61,3,146,6,1,0,0,技術員,中
4070,0.31,0.54,5,259,5,1,0,0,技術員,中
4071,0.65,0.49,4,184,4,0,0,0,技術員,中
4072,0.72,0.69,4,149,2,0,0,0,經理,中
4073,0.84,0.85,4,185,3,1,0,0,資訊科技,中
4074,0.55,0.8,3,254,2,0,0,0,資訊科技,中
4075,0.6,0.58,4,249,3,0,0,0,資訊科技,中
4076,0.84,0.48,4,269,2,0,0,0,資訊科技,中
4077,0.68,0.87,3,168,3,0,0,0,資訊科技,中
4078,0.13,1,6,225,3,0,0,0,產品管理,中
4079,0.88,0.98,3,160,2,0,0,0,產品管理,中
4080,0.64,0.57,5,149,3,1,0,0,產品管理,中
4081,0.19,0.95,5,193,3,0,0,0,產品管理,中
4082,0.83,0.88,5,171,3,1,0,0,資訊科技,中
4083,0.17,0.41,4,232,3,1,0,0,研發,中
4084,0.44,0.74,4,250,6,0,0,0,研發,中
4085,0.52,0.55,4,243,2,0,0,0,研發,中
4086,0.66,0.62,4,250,2,0,0,0,研發,中
4087,0.96,0.55,4,153,3,0,0,0,研發,中
4088,0.19,0.5,5,126,3,1,0,0,研發,中
4089,0.86,1,3,192,3,0,0,0,行銷,高
4090,0.65,0.57,3,137,4,1,0,0,業務,高
4091,0.61,0.97,3,199,3,1,0,0,財務會計,高
4092,0.53,0.96,3,181,3,1,0,0,技術支援,高
4093,0.14,0.76,5,260,6,0,0,0,技術員,高
4094,0.74,1,4,199,4,0,0,0,經理,高
4095,0.47,0.62,6,171,5,1,0,0,行銷,高
4096,0.6,0.56,4,260,3,0,0,0,行銷,高
4097,0.81,0.58,3,243,4,0,0,0,行銷,高
4098,0.95,0.59,2,154,4,0,0,0,業務,高
4099,0.98,0.8,2,201,2,0,0,0,業務,高
4100,0.52,0.8,5,234,3,0,0,0,業務,高
4101,1,0.97,3,216,3,1,0,0,業務,低
4102,0.16,0.74,5,205,4,1,0,0,業務,低
4103,0.19,0.83,3,225,4,0,0,0,業務,低
4104,0.94,0.87,3,229,3,0,0,0,業務,低
4105,0.58,0.43,6,132,3,0,0,0,業務,低
4106,0.92,0.69,4,180,3,0,0,0,業務,低
4107,0.65,0.8,4,164,4,0,0,0,業務,低
4108,0.74,0.74,5,175,3,0,0,0,業務,低
4109,0.6,0.53,5,103,2,0,0,0,業務,低
4110,1,1,5,142,4,0,0,0,業務,低
4111,0.81,0.96,4,212,3,0,0,0,業務,低
4112,0.54,0.67,2,129,3,1,0,0,業務,低
4113,0.18,0.81,5,140,4,0,0,0,業務,低
4114,0.82,0.88,4,149,2,0,0,0,業務,低
4115,0.9,0.96,2,258,2,0,0,0,業務,低
4116,0.62,0.62,4,136,2,0,0,0,業務,中
4117,0.77,0.76,2,216,3,1,0,0,財務會計,中
4118,0.58,0.86,3,151,2,0,0,0,財務會計,中
4119,0.27,0.47,5,217,6,0,0,0,財務會計,中
4120,0.78,0.72,4,219,3,0,0,0,人力資源,中
4121,0.98,0.66,3,150,3,0,0,0,人力資源,中
4122,0.75,0.5,4,98,4,0,0,0,人力資源,中
4123,0.74,0.67,5,140,3,0,0,0,人力資源,中
4124,0.9,0.99,3,259,3,1,0,0,技術員,中
4125,0.73,0.71,5,215,6,1,0,0,技術員,中
4126,0.9,0.62,4,258,3,0,0,0,技術員,中
4127,0.68,0.91,4,162,3,1,0,0,技術員,中
4128,0.9,0.74,3,260,4,0,0,0,技術員,高
4129,0.64,0.93,5,198,2,0,0,0,技術員,高
4130,0.63,0.9,2,242,3,1,0,0,技術員,高
4131,0.87,0.89,4,219,4,0,0,0,技術員,高
4132,0.6,0.55,4,204,3,0,0,0,技術員,高
4133,0.7,0.74,3,157,3,0,0,0,技術員,高
4134,0.15,0.94,5,244,6,0,0,0,技術員,高
4135,0.45,0.75,3,122,3,0,0,0,技術支援,高
4136,0.43,0.9,5,282,5,0,0,0,技術支援,低
4137,0.92,0.46,5,195,5,0,0,0,技術支援,低
4138,0.72,0.81,4,134,2,0,0,0,技術支援,低
4139,0.94,0.84,3,210,2,0,0,0,技術支援,低
4140,0.74,0.52,3,170,3,0,0,0,技術支援,低
4141,0.48,0.71,2,140,3,1,0,0,技術支援,低
4142,0.84,0.76,5,215,2,1,0,0,技術支援,低
4143,0.53,0.86,3,150,3,0,0,0,技術支援,低
4144,0.45,0.88,5,268,3,1,0,0,技術支援,中
4145,0.95,0.67,4,270,4,0,0,0,技術支援,中
4146,0.95,0.58,3,163,3,0,0,0,技術員,中
4147,0.7,0.85,3,188,2,0,0,0,技術員,中
4148,0.19,0.93,3,110,4,0,0,0,技術員,中
4149,0.74,0.91,5,135,3,0,0,0,經理,中
4150,0.54,0.59,4,228,3,0,0,0,資訊科技,中
4151,0.5,0.69,5,172,2,0,0,0,資訊科技,中
4152,0.95,0.72,3,168,5,0,0,0,資訊科技,中
4153,0.69,0.69,5,160,3,0,0,0,資訊科技,中
4154,0.24,0.74,5,282,3,0,0,0,資訊科技,中
4155,0.96,0.7,5,184,2,1,0,0,產品管理,中
4156,0.61,0.5,4,217,4,1,0,0,產品管理,中
4157,0.76,0.53,6,281,3,0,0,0,產品管理,中
4158,0.61,0.64,3,245,2,0,0,0,產品管理,中
4159,0.37,0.48,2,285,5,0,0,0,資訊科技,中
4160,0.81,0.9,4,165,3,0,0,0,研發,中
4161,0.59,0.9,3,146,3,0,0,0,研發,中
4162,0.73,0.82,3,133,3,0,0,0,研發,中
4163,0.87,0.57,2,181,6,0,0,0,研發,中
4164,0.67,0.66,6,152,3,0,0,0,研發,中
4165,0.96,0.78,2,284,3,0,0,0,研發,中
4166,0.98,0.51,3,157,3,0,0,0,行銷,中
4167,0.5,0.58,4,165,2,0,0,0,業務,高
4168,0.49,0.71,3,255,2,1,0,0,財務會計,低
4169,0.13,0.65,4,194,4,0,0,0,技術支援,中
4170,0.57,0.68,3,102,6,0,0,0,技術員,中
4171,0.51,0.94,4,247,2,0,0,0,經理,中
4172,0.99,0.69,3,206,2,0,0,0,行銷,中
4173,0.8,0.77,3,171,2,0,0,0,行銷,中
4174,0.56,0.39,5,263,4,0,0,0,行銷,中
4175,0.96,0.84,4,272,4,1,0,0,業務,中
4176,0.96,0.5,3,158,2,1,0,0,業務,中
4177,0.87,0.53,6,216,6,1,0,0,業務,中
4178,0.61,0.9,5,113,3,0,0,0,業務,中
4179,0.18,0.6,3,140,4,0,0,0,業務,低
4180,0.24,0.77,5,178,5,0,0,0,業務,低
4181,0.86,0.48,4,153,3,0,0,0,業務,低
4182,0.25,0.62,6,271,5,0,0,0,業務,低
4183,0.25,0.82,3,269,5,0,0,0,業務,低
4184,0.63,0.55,3,160,3,0,0,0,業務,低
4185,0.89,0.68,4,258,2,1,0,0,業務,低
4186,0.87,0.82,4,251,3,0,0,0,業務,高
4187,0.87,0.78,3,170,2,0,0,0,業務,低
4188,0.71,0.99,4,238,4,1,0,0,業務,高
4189,0.98,0.87,4,152,2,0,0,0,業務,高
4190,0.16,0.51,3,262,6,0,0,0,業務,低
4191,0.83,0.68,4,273,2,0,0,0,業務,低
4192,0.65,0.77,3,233,2,0,0,0,業務,高
4193,0.95,0.64,3,262,3,0,0,0,業務,低
4194,0.67,0.67,3,183,3,0,0,0,財務會計,中
4195,0.53,0.88,3,150,3,1,0,0,財務會計,高
4196,0.74,0.94,3,132,3,0,0,0,財務會計,中
4197,0.77,0.79,3,200,4,0,0,0,人力資源,中
4198,0.13,0.72,4,148,5,0,0,0,人力資源,中
4199,0.82,0.92,3,187,3,1,0,0,人力資源,中
4200,0.88,0.65,4,224,2,0,0,0,人力資源,高
4201,0.89,0.5,4,147,2,0,0,0,技術員,中
4202,0.85,0.51,3,153,4,0,0,0,技術員,中
4203,0.93,0.87,5,154,2,0,0,0,技術員,中
4204,0.62,0.7,5,270,3,0,0,0,技術員,高
4205,0.58,0.96,3,202,2,0,0,0,技術員,中
4206,0.98,0.5,4,264,3,0,0,0,技術員,高
4207,0.52,0.45,2,145,3,0,0,0,技術員,低
4208,0.76,0.49,3,138,2,1,0,0,技術員,中
4209,0.73,0.91,3,238,2,0,0,0,技術員,中
4210,0.74,0.64,4,147,5,0,0,0,技術員,中
4211,0.49,0.48,3,190,2,0,0,0,技術員,中
4212,0.91,0.97,4,183,3,0,0,0,技術支援,低
4213,0.74,0.92,5,255,3,0,0,0,技術支援,低
4214,0.86,0.82,4,252,4,0,0,0,技術支援,低
4215,0.52,0.47,6,141,5,1,0,0,技術支援,低
4216,0.95,0.81,3,260,2,0,0,0,技術支援,低
4217,0.65,0.98,3,136,3,0,0,0,技術支援,低
4218,0.7,0.56,4,182,2,0,0,0,技術支援,低
4219,0.14,0.66,6,142,5,0,0,0,技術支援,低
4220,0.92,0.53,2,261,4,0,0,0,技術支援,低
4221,0.54,0.6,3,209,2,0,0,0,技術支援,低
4222,0.76,0.95,2,156,4,0,0,0,技術支援,高
4223,0.78,0.66,4,214,2,0,0,0,技術員,低
4224,0.85,0.86,4,250,3,0,0,0,技術員,低
4225,0.78,0.8,4,197,3,1,0,0,技術員,低
4226,0.55,0.72,3,149,3,0,0,0,經理,低
4227,0.68,0.61,5,271,2,0,0,0,資訊科技,高
4228,0.91,0.68,4,187,2,0,0,0,資訊科技,低
4229,0.76,0.56,3,154,2,0,0,0,資訊科技,低
4230,0.15,0.67,4,264,3,0,0,0,資訊科技,低
4231,0.95,0.6,2,144,3,0,0,0,資訊科技,高
4232,0.74,0.37,6,200,3,0,0,0,產品管理,低
4233,0.92,0.56,5,197,2,1,0,0,產品管理,中
4234,0.64,0.89,3,175,3,1,0,0,產品管理,高
4235,0.96,0.9,3,161,3,0,0,0,產品管理,中
4236,0.21,0.72,3,245,6,0,0,0,資訊科技,高
4237,0.85,0.67,3,167,4,0,0,0,研發,中
4238,0.52,0.86,5,168,3,0,0,0,研發,中
4239,0.54,0.81,5,261,6,0,0,0,研發,中
4240,0.56,0.81,5,274,4,0,0,0,研發,中
4241,0.59,0.79,4,181,3,0,0,0,研發,中
4242,0.88,0.58,5,266,3,1,0,0,行銷,中
4243,0.7,0.84,4,184,3,0,0,0,業務,中
4244,0.95,0.58,3,193,2,0,0,0,財務會計,中
4245,0.83,0.88,3,217,2,1,0,0,技術支援,高
4246,0.76,0.62,4,197,3,0,0,0,技術員,低
4247,0.82,0.92,5,252,3,0,0,0,經理,中
4248,0.55,0.97,4,136,3,0,0,0,行銷,中
4249,0.89,0.55,5,194,4,0,0,0,行銷,中
4250,0.66,0.94,4,190,3,0,0,0,行銷,中
4251,0.41,0.61,3,185,2,1,0,0,業務,中
4252,0.83,0.77,3,232,2,1,0,0,業務,中
4253,0.88,0.72,3,200,2,1,0,0,業務,中
4254,0.56,0.66,5,155,2,0,0,0,業務,中
4255,0.53,0.72,3,228,3,0,0,0,業務,中
4256,0.8,0.41,3,188,4,0,0,0,業務,高
4257,0.95,0.78,4,245,3,0,0,0,業務,低
4258,0.9,0.88,4,205,2,0,0,0,業務,低
4259,0.5,0.97,4,269,3,0,0,0,業務,低
4260,0.4,0.59,3,207,6,0,0,0,業務,高
4261,0.52,0.85,3,250,4,0,0,0,業務,低
4262,0.51,0.5,5,251,3,1,0,0,業務,低
4263,0.84,0.62,5,217,3,0,0,0,業務,低
4264,0.78,0.98,5,252,3,0,0,0,業務,高
4265,0.91,0.71,2,159,3,1,0,0,業務,低
4266,0.59,0.71,5,169,2,0,0,0,業務,低
4267,0.69,0.97,5,105,4,0,0,0,業務,低
4268,0.87,0.93,4,268,2,0,0,0,業務,低
4269,0.66,1,5,145,2,0,0,0,業務,低
4270,0.5,0.54,4,165,3,0,0,0,財務會計,低
4271,0.95,0.75,3,253,4,0,0,0,財務會計,低
4272,0.77,0.64,3,254,3,0,0,0,財務會計,中
4273,0.66,0.5,3,218,2,0,0,0,人力資源,中
4274,0.61,0.98,3,138,5,1,0,0,人力資源,中
4275,0.7,0.87,5,239,3,0,0,0,人力資源,中
4276,0.89,0.71,5,182,2,1,0,0,人力資源,中
4277,0.6,0.78,4,152,3,1,0,0,技術員,中
4278,0.62,0.51,3,222,3,1,0,0,技術員,中
4279,0.59,0.9,2,219,2,1,0,0,技術員,中
4280,0.69,0.59,4,266,4,0,0,0,技術員,中
4281,0.36,0.94,3,113,5,1,0,0,技術員,中
4282,0.59,0.93,4,146,3,0,0,0,技術員,中
4283,0.5,0.51,5,238,4,0,0,0,技術員,中
4284,0.53,0.99,3,188,3,0,0,0,技術員,高
4285,0.84,0.9,4,237,2,0,0,0,技術員,低
4286,0.51,0.95,4,201,3,0,0,0,技術員,中
4287,0.53,0.56,5,188,3,0,0,0,技術員,中
4288,0.98,0.63,3,137,3,0,0,0,技術支援,中
4289,0.95,0.81,4,263,3,0,0,0,技術支援,中
4290,0.13,0.76,5,217,3,0,0,0,技術支援,低
4291,0.5,0.64,4,213,4,0,0,0,技術支援,低
4292,0.93,0.76,3,244,3,0,0,0,技術支援,低
4293,0.5,0.87,3,252,2,0,0,0,技術支援,低
4294,0.66,0.84,4,168,2,0,0,0,技術支援,低
4295,0.89,0.79,4,212,3,0,0,0,技術支援,低
4296,0.46,0.43,4,258,3,0,0,0,技術支援,低
4297,0.67,0.6,4,210,3,0,0,0,技術支援,低
4298,0.96,0.9,4,246,3,0,0,0,技術支援,低
4299,0.98,0.76,4,221,3,1,0,0,技術員,低
4300,0.67,0.57,5,215,4,0,0,0,技術員,低
4301,0.72,0.72,4,175,4,0,0,0,技術員,低
4302,0.65,0.49,5,221,2,0,0,0,經理,低
4303,0.72,0.67,5,219,3,0,0,0,資訊科技,低
4304,0.78,0.58,3,154,3,0,0,0,資訊科技,低
4305,0.93,0.56,3,266,2,0,0,0,資訊科技,低
4306,0.73,0.85,5,224,4,0,0,0,資訊科技,低
4307,0.2,0.57,4,269,5,1,0,0,資訊科技,低
4308,0.47,0.5,4,159,2,0,0,0,產品管理,低
4309,0.56,0.62,4,247,3,0,0,0,產品管理,低
4310,0.72,0.86,4,137,2,0,0,0,產品管理,低
4311,0.91,0.56,4,251,4,0,0,0,產品管理,中
4312,0.79,0.49,5,210,3,0,0,0,資訊科技,中
4313,0.53,0.75,2,123,4,0,0,0,研發,中
4314,0.14,0.51,4,253,6,0,0,0,研發,中
4315,0.78,0.92,5,242,4,0,0,0,研發,中
4316,0.52,0.74,3,238,3,0,0,0,研發,中
4317,0.94,0.68,5,151,2,0,0,0,研發,中
4318,0.83,0.8,4,158,4,0,0,0,行銷,中
4319,0.44,0.68,2,120,2,0,0,0,行銷,中
4320,0.72,0.74,3,187,2,0,0,0,業務,中
4321,0.84,0.58,3,140,3,0,0,0,財務會計,中
4322,0.76,0.99,3,164,2,0,0,0,技術支援,中
4323,0.92,0.94,5,253,2,0,0,0,技術員,高
4324,0.58,0.93,5,235,2,0,0,0,經理,低
4325,0.85,0.81,4,189,4,0,0,0,行銷,中
4326,0.74,0.51,4,246,3,1,0,0,行銷,中
4327,0.74,0.87,4,258,2,0,0,0,行銷,中
4328,0.72,0.8,3,158,3,0,0,0,業務,中
4329,0.76,0.98,4,173,3,1,0,0,業務,低
4330,0.85,0.72,3,201,3,0,0,0,業務,低
4331,0.82,0.49,5,185,3,0,0,0,業務,低
4332,0.6,0.93,5,270,3,1,0,0,業務,低
4333,0.39,0.64,3,152,2,0,0,0,業務,低
4334,0.83,0.53,3,211,4,1,0,0,業務,低
4335,0.7,0.92,3,162,3,1,0,0,業務,低
4336,0.84,0.97,4,253,2,1,0,0,業務,低
4337,0.9,0.77,4,236,3,0,0,0,業務,低
4338,0.18,0.84,4,231,5,0,0,0,業務,低
4339,0.52,0.71,2,231,2,0,0,0,業務,低
4340,0.87,0.51,4,233,3,0,0,0,業務,低
4341,0.6,0.79,5,217,2,0,0,0,業務,低
4342,0.72,0.93,4,174,2,0,0,0,業務,低
4343,0.48,0.64,4,227,3,0,0,0,業務,低
4344,0.75,0.53,3,222,2,0,0,0,業務,低
4345,0.85,0.55,2,207,6,0,0,0,業務,低
4346,0.39,0.41,6,115,3,0,0,0,業務,低
4347,0.61,0.68,3,254,2,0,0,0,財務會計,低
4348,0.6,0.61,4,170,3,0,0,0,財務會計,低
4349,0.57,0.64,2,206,3,0,0,0,財務會計,低
4350,0.19,0.68,5,149,3,0,0,0,人力資源,中
4351,0.48,0.77,3,197,3,0,0,0,人力資源,中
4352,0.69,0.75,4,261,3,0,0,0,人力資源,中
4353,0.7,0.55,4,256,4,0,0,0,人力資源,中
4354,0.65,0.92,3,219,3,0,0,0,技術員,中
4355,0.81,0.96,4,143,3,1,0,0,技術員,中
4356,0.85,0.95,4,171,3,0,0,0,技術員,中
4357,0.93,0.76,4,207,2,0,0,0,技術員,中
4358,0.72,0.94,4,235,3,0,0,0,技術員,中
4359,0.49,0.55,2,173,3,0,0,0,技術員,中
4360,0.94,0.47,5,131,6,0,0,0,技術員,中
4361,0.81,0.84,4,143,2,0,0,0,技術員,中
4362,0.92,0.78,5,193,4,0,0,0,技術員,高
4363,0.97,0.82,3,135,2,0,0,0,技術員,低
4364,0.98,0.61,4,265,2,1,0,0,技術員,中
4365,0.44,0.45,3,133,2,1,0,0,技術支援,中
4366,0.72,0.87,4,184,4,0,0,0,技術支援,中
4367,0.8,0.73,5,135,3,0,0,0,技術支援,中
4368,0.6,0.72,4,267,4,0,0,0,技術支援,低
4369,0.89,0.65,4,184,3,0,0,0,技術支援,低
4370,0.69,0.57,5,227,2,0,0,0,技術支援,低
4371,0.54,0.81,4,257,2,0,0,0,技術支援,低
4372,0.97,0.75,5,235,3,1,0,0,技術支援,低
4373,0.37,0.4,4,161,2,0,0,0,技術支援,低
4374,0.73,0.52,4,215,3,0,0,0,技術支援,低
4375,0.57,0.69,4,146,3,0,0,0,技術支援,低
4376,0.86,0.66,4,191,2,0,0,0,技術員,低
4377,0.83,0.85,4,261,3,0,0,0,技術員,低
4378,0.19,0.52,5,200,5,0,0,0,技術員,低
4379,0.55,0.93,4,239,4,0,0,0,經理,低
4380,0.6,0.65,4,160,2,0,0,0,資訊科技,低
4381,0.62,0.71,3,177,3,1,0,0,資訊科技,低
4382,0.65,0.55,5,215,2,0,0,0,資訊科技,低
4383,0.4,0.48,4,97,2,0,0,0,資訊科技,低
4384,0.82,0.78,5,231,2,1,0,0,資訊科技,低
4385,0.75,0.69,2,257,2,1,0,0,產品管理,低
4386,0.83,0.53,3,232,3,1,0,0,產品管理,低
4387,0.77,0.78,4,212,3,0,0,0,產品管理,低
4388,0.59,0.98,4,198,3,0,0,0,產品管理,低
4389,0.8,0.79,5,240,4,0,0,0,資訊科技,中
4390,0.84,0.55,3,242,3,0,0,0,研發,中
4391,0.88,0.71,4,250,3,0,0,0,研發,中
4392,0.37,0.9,3,229,6,0,0,0,研發,中
4393,0.88,0.66,4,133,2,0,0,0,研發,中
4394,0.69,0.85,3,200,2,0,0,0,研發,中
4395,0.54,0.49,2,155,2,1,0,0,行銷,中
4396,0.76,0.57,5,139,4,0,0,0,業務,中
4397,0.51,0.58,4,272,3,0,0,0,財務會計,中
4398,0.16,0.52,3,100,4,0,0,0,技術支援,中
4399,0.65,0.6,5,160,3,0,0,0,技術員,中
4400,0.54,0.81,5,195,4,0,0,0,經理,中
4401,0.66,0.68,4,152,3,0,0,0,行銷,高
4402,0.95,0.65,5,182,3,0,0,0,行銷,低
4403,0.83,0.57,3,137,2,0,0,0,行銷,中
4404,0.98,0.84,4,182,3,0,0,0,業務,中
4405,0.72,0.72,3,217,2,0,0,0,業務,中
4406,0.71,0.62,4,192,4,0,0,0,業務,中
4407,0.36,0.65,3,116,2,1,0,0,業務,低
4408,0.55,0.65,4,170,4,0,0,0,業務,低
4409,0.64,0.52,3,223,3,0,0,0,業務,低
4410,0.62,0.57,3,174,2,0,0,0,業務,低
4411,1,0.95,3,193,6,0,0,0,業務,低
4412,0.91,0.91,6,167,2,1,0,0,業務,低
4413,0.81,0.67,4,225,3,0,0,0,業務,低
4414,0.71,0.92,4,248,3,1,0,0,業務,低
4415,0.97,0.74,3,104,5,0,0,0,業務,低
4416,0.75,0.86,6,148,4,0,0,0,業務,低
4417,0.68,1,3,148,4,1,0,0,業務,低
4418,0.87,0.68,5,187,3,0,0,0,業務,低
4419,0.96,0.57,3,151,2,0,0,0,業務,低
4420,0.41,0.86,6,215,5,0,0,0,業務,低
4421,0.81,0.61,4,142,4,0,0,0,業務,低
4422,0.68,1,6,258,5,0,0,0,業務,低
4423,0.63,0.56,4,228,3,0,0,0,財務會計,低
4424,0.6,0.84,2,221,3,0,0,0,財務會計,低
4425,0.66,0.97,3,263,3,0,0,0,財務會計,中
4426,0.69,0.82,4,273,4,0,0,0,人力資源,中
4427,0.23,0.37,3,247,4,0,0,0,人力資源,中
4428,0.52,0.63,3,225,3,0,0,0,人力資源,中
4429,0.65,0.86,4,269,2,1,0,0,人力資源,中
